player_name,2024,2023,2022,2021,2020,2019,2018,2017
D.Burnett,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
D.Bryant,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0
D.Brown,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
D.Bell,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
D.Baldwin,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.0
D.Amendola,0.0,0.0,0.0,6.0,6.0,10.0,8.0,12.0
C.Blake,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
C.Beasley,0.0,0.0,1.0,12.0,13.0,12.0,10.0,7.0
D.Jennings,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A.Mack,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A.Tate,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0
A.Stewart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A.Schwartz,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A.Rodgers,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A.Robinson,0.0,2.0,9.0,7.0,16.0,16.0,13.0,3.0
A.Roberts,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
A.Miller,0.0,0.0,0.0,2.0,9.0,6.0,6.0,0.0
A.Jones,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
B.Zylstra,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
A.Jeffery,0.0,0.0,0.0,0.0,0.0,8.0,14.0,16.0
A.Isabella,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
A.Hurns,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0
A.Humphries,0.0,0.0,0.0,6.0,4.0,5.0,13.0,8.0
A.Green,0.0,0.0,4.0,12.0,12.0,0.0,8.0,14.0
A.Erickson,0.0,3.0,0.0,0.0,1.0,8.0,2.0,1.0
A.Dulin,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
A.Trammell,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Wesley,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
A.Wilson,0.0,0.0,0.0,4.0,0.0,7.0,4.0,6.0
B.Berrios,0.0,2.0,2.0,5.0,4.0,1.0,0.0,0.0
B.Treggs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B.Tate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B.Skowronek,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0
B.Pringle,0.0,0.0,0.0,7.0,2.0,1.0,0.0,0.0
B.Powell,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
B.Perriman,0.0,0.0,1.0,1.0,7.0,7.0,1.0,1.0
B.Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
B.Melton,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
B.Marshall,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
B.LaFell,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0
B.Johnson,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
B.Fowler,0.0,0.0,0.0,0.0,1.0,4.0,1.0,5.0
B.Ellington,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0
B.Edwards,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
B.Coleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
D.Jackson,0.0,0.0,0.0,2.0,3.0,1.0,8.0,10.0
D.Mims,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0
K.Coutee,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0
J.Hyatt,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
J.Metchie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
J.Malone,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J.Maclin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
J.Landry,0.0,0.0,4.0,11.0,14.0,16.0,15.0,16.0
J.Kerley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
J.Kearse,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0
J.Jones,0.0,0.0,6.0,6.0,6.0,15.0,16.0,17.0
J.Hunter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
J.Doctson,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0
J.Holton,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
J.Hightower,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
J.Hardy,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
J.Guyton,0.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0
J.Grant,0.0,0.0,0.0,1.0,7.0,3.0,2.0,2.0
J.Gordon,0.0,0.0,0.0,0.0,0.0,5.0,7.0,5.0
J.Edelman,0.0,0.0,0.0,0.0,5.0,16.0,15.0,0.0
J.Mickens,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
J.Nailor,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
A.Callaway,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
J.Palmer,0.0,7.0,13.0,4.0,0.0,0.0,0.0,0.0
K.Cole,0.0,0.0,1.0,5.0,12.0,3.0,7.0,8.0
K.Britt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
K.Bourne,0.0,6.0,4.0,6.0,10.0,3.0,6.0,4.0
K.Benjamin,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0
K.Aiken,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
J.Wright,0.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0
J.Winfree,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
J.Wims,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
J.Watson,0.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0
J.Washington,0.0,0.0,0.0,5.0,5.0,9.0,2.0,0.0
