year,week,player_id,player,position,team,points,points_ppr,points_half,rushing_attempts,rushing_yards,rushing_tds,receptions,reception_yards,reception_tds
2024,7,4429013,Tank Bigsby,RB,JAX,9.73,10.98,10.35,13.39,61.48,0.43,1.25,9.13,0.04
2024,7,3116385,Joe Mixon,RB,HOU,12.22,15.34,13.78,15.94,64.74,0.45,3.12,23.49,0.13
2024,7,4362238,Chase Brown,RB,CIN,9.57,11.75,10.66,12.97,54.08,0.36,2.18,16.02,0.09
2024,7,4373626,Tyler Allgeier,RB,ATL,7.41,8.5,7.96,10.34,45.42,0.31,1.09,8.9,0.04
2024,7,4372019,Jerome Ford,RB,CLE,1.37,1.81,1.59,1.84,7.96,0.04,0.44,2.76,0.02
2024,7,3917315,Kyler Murray,RB,ARI,18.12,18.12,18.12,,,,,,
2024,7,4038815,Rico Dowdle,RB,DAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,7,4567048,Kenneth Walker III,RB,SEA,12.92,16.33,14.62,15.09,64.63,0.6,3.42,23.73,0.11
2024,7,4362887,Justin Fields,RB,PIT,18.13,18.13,18.13,,,,,,
2024,7,4239996,Travis Etienne Jr.,RB,JAX,2.17,2.8,2.49,2.36,10.13,0.09,0.63,4.72,0.03
2024,7,4360294,Antonio Gibson,RB,NE,7.27,9.15,8.21,11.73,42.27,0.23,1.88,14.81,0.05
2024,7,4035676,Zack Moss,RB,CIN,7.7,9.76,8.73,9.33,40.52,0.29,2.06,14.23,0.09
2024,7,4040761,Devin Singletary,RB,NYG,8.57,10.62,9.6,11.95,49.94,0.33,2.05,13.98,0.05
2024,7,4361579,Javonte Williams,RB,DEN,9.02,12.07,10.54,12.29,49.51,0.26,3.05,20.7,0.1
2024,7,4887558,Emanuel Wilson,RB,GB,4.24,5.19,4.72,7.1,25.26,0.12,0.96,7.54,0.04
2024,7,4360516,Tyrone Tracy Jr.,RB,NYG,7.08,9.05,8.06,10.37,38.71,0.24,1.97,14.67,0.06
2024,7,4040715,Jalen Hurts,RB,PHI,20.26,20.26,20.26,,,,,,
2024,7,4426385,Zach Charbonnet,RB,SEA,4.89,7.19,6.04,5.13,20.91,0.15,2.31,14.85,0.08
2024,7,4697815,Rachaad White,RB,TB,6.03,8.49,7.26,6.76,25.22,0.2,2.46,18.36,0.1
2024,7,4429160,De'Von Achane,RB,MIA,10.4,13.61,12.01,11.98,52.96,0.35,3.21,23.53,0.12
2024,7,4426338,Bo Nix,RB,DEN,16.01,16.01,16.01,,,,,,
2024,7,3918298,Josh Allen,RB,BUF,20.64,20.64,20.64,,,,,,
2024,7,4429501,Ray Davis,RB,BUF,3.87,4.69,4.28,6.15,22.2,0.14,0.81,6.58,0.03
2024,7,3059915,Kareem Hunt,RB,KC,11.44,13.41,12.42,16.29,63.94,0.54,1.97,14.96,0.06
2024,7,3068267,Austin Ekeler,RB,WSH,8.63,11.58,10.11,8.16,33.41,0.34,2.95,24.44,0.16
2024,7,4431611,Caleb Williams,RB,CHI,0.0,0.0,0.0,,,,,,
2024,7,3917792,Daniel Jones,RB,NYG,16.22,16.22,16.22,,,,,,
2024,7,4048244,Alexander Mattison,RB,LV,7.53,9.89,8.71,10.88,39.44,0.24,2.36,17.32,0.08
2024,7,4361777,Zamir White,RB,LV,5.36,6.37,5.86,8.95,33.54,0.2,1.01,7.35,0.03
2024,7,4685247,Braelon Allen,RB,NYJ,4.72,5.83,5.27,5.77,26.53,0.16,1.12,8.33,0.05
2024,7,3122840,Deshaun Watson,RB,CLE,13.26,13.26,13.26,,,,,,
2024,7,4240021,Cam Akers,RB,MIN,0.51,0.64,0.57,0.25,2.45,0.02,0.13,1.03,0.0
2024,7,4242431,Ty Chandler,RB,MIN,5.72,7.38,6.55,7.44,31.38,0.21,1.66,10.97,0.05
2024,7,15864,Geno Smith,RB,SEA,17.56,17.56,17.56,,,,,,
2024,7,4430871,Sean Tucker,RB,TB,4.5,5.69,5.09,6.21,22.51,0.16,1.2,9.95,0.06
2024,7,4429084,Anthony Richardson,RB,IND,17.43,17.43,17.43,,,,,,
2024,7,4372561,Isaac Guerendo,RB,SF,3.63,3.92,3.77,6.84,25.72,0.14,0.28,2.06,0.01
2024,7,4682745,Jaylen Wright,RB,MIA,2.14,2.53,2.33,3.69,13.16,0.07,0.39,2.72,0.02
2024,7,3052587,Baker Mayfield,RB,TB,18.6,18.6,18.6,,,,,,
2024,7,4361529,Isiah Pacheco,RB,KC,,,,,,,,,
2024,7,4361741,Brock Purdy,RB,SF,17.47,17.47,17.47,,,,,,
2024,7,3125116,D'Onta Foreman,RB,CLE,3.85,4.71,4.28,5.72,24.21,0.13,0.86,5.93,0.01
2024,7,3127586,Jeremy McNichols,RB,WSH,0.59,0.72,0.66,0.61,3.58,0.02,0.13,0.94,0.01
2024,7,4714365,Carson Steele,RB,KC,0.66,0.85,0.76,0.4,3.34,0.03,0.19,1.3,0.0
