year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_rushing_attempts,projected_rushing_yards,projected_rushing_tds,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,3051392,Ezekiel Elliott,Ezekiel,Elliott,RB,DAL,"$5,800",-,-,4,3,0.8,1,44.4%,1,2,50.0%,9,9.0,0,66.7%,4.75,6.08,5.41,7.13,25.1,0.18,1.33,8.79,0.05,41.0,41.0,41.0,41.0,41.0,41.0
2024,8,4242512,Malik Willis,Malik,Willis,RB,GB,,,,,,,,,,,,,,,,0.14,0.14,0.14,,,,,,,,,,,,
2024,8,4428557,Tyjae Spears,Tyjae,Spears,RB,TEN,"$6,200","$5,600",+600,3,9,3.0,1,18.8%,0,0,0%,0,0,0,0.0%,4.79,6.71,5.75,4.88,23.65,0.12,1.92,14.1,0.07,54.7,54.7,54.7,54.7,54.7,54.7
2024,8,3051926,Gus Edwards,Gus,Edwards,RB,LAC,"$5,600","$5,100",+500,5,9,1.8,0,31.3%,0,0,0%,0,0,0,0.0%,,,,,,,,,,20.5,20.5,20.5,20.5,20.5,20.5
2024,8,4362249,Jayden Reed,Jayden,Reed,RB,GB,,,,,,,,,,,,,,,,9.72,14.54,12.13,,,,4.82,61.63,0.42,,,,,,
2024,8,4429275,Trey Benson,Trey,Benson,RB,ARI,"$5,000","$4,500",+500,2,6,3.0,0,9.1%,0,0,0%,0,0,0,0.0%,2.61,2.97,2.79,4.51,17.14,0.1,0.36,2.51,0.02,19.1,19.1,19.1,19.1,19.1,19.1
2024,8,3912547,Sam Darnold,Sam,Darnold,RB,MIN,,,,,,,,,,,,,,,,17.14,17.14,17.14,,,,,,,,,,,,
2024,8,4361418,Will Levis,Will,Levis,RB,TEN,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
2024,8,3139602,D'Ernest Johnson,D'Ernest,Johnson,RB,JAX,,,,,,,,,,,,,,,,2.99,4.19,3.59,4.04,16.34,0.07,1.2,8.73,0.02,,,,,,
2024,8,4569987,Jaylen Warren,Jaylen,Warren,RB,PIT,"$5,500","$5,500",0,4,10,2.5,0,14.3%,1,2,50.0%,7,7.0,0,50.0%,6.44,8.61,7.52,8.18,35.12,0.19,2.17,14.8,0.07,56.8,56.8,56.8,56.8,56.8,56.8
2024,8,4038441,Justice Hill,Justice,Hill,RB,BAL,"$6,000","$5,500",+500,2,5,2.5,0,9.5%,4,6,66.7%,53,13.3,2,66.7%,4.3,6.56,5.43,3.66,13.57,0.06,2.26,18.44,0.13,24.3,24.3,24.3,24.3,24.3,24.3
2024,8,4371733,Kenneth Gainwell,Kenneth,Gainwell,RB,PHI,"$5,000","$4,800",+200,8,39,4.9,0,26.7%,0,0,0%,0,0,0,0.0%,2.34,3.01,2.67,3.38,12.23,0.09,0.66,4.59,0.03,1.9,1.9,1.9,1.9,1.9,1.9
2024,8,4360310,Trevor Lawrence,Trevor,Lawrence,RB,JAX,,,,,,,,,,,,,,,,15.86,15.86,15.86,,,,,,,,,,,,
2024,8,4360238,Dameon Pierce,Dameon,Pierce,RB,HOU,"$5,000","$5,100",-100,2,4,2.0,0,6.5%,0,0,0%,0,0,0,0.0%,3.31,3.9,3.61,4.13,20.22,0.14,0.59,4.49,0.01,6.5,6.5,6.5,6.5,6.5,6.5
2024,8,4432577,C.J. Stroud,C.J.,Stroud,RB,HOU,,,,,,,,,,,,,,,,16.94,16.94,16.94,,,,,,,,,,,,
2024,8,15807,Cordarrelle Patterson,Cordarrelle,Patterson,RB,PIT,"$4,800","$4,800",0,0,0,0,0,0.0%,1,1,100.0%,4,4.0,0,25.0%,2.44,3.03,2.74,2.6,12.95,0.1,0.59,4.55,0.02,1.3,1.3,1.3,1.3,1.3,1.3
2024,8,3915511,Joe Burrow,Joe,Burrow,RB,CIN,,,,,,,,,,,,,,,,18.35,18.35,18.35,,,,,,,,,,,,
2024,8,4426386,Roschon Johnson,Roschon,Johnson,RB,CHI,"$5,700",-,-,7,15,2.1,3,28.0%,0,0,0%,0,0,0,0%,5.58,6.88,6.23,7.02,28.99,0.25,1.31,9.57,0.06,15.8,15.8,15.8,15.8,15.8,15.8
2024,8,4362748,Tyler Badie,Tyler,Badie,RB,DEN,"$4,000","$4,000",0,0,0,0,0,0.0%,1,1,100.0%,2,2.0,0,20.0%,,,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7
2024,8,2468609,Taysom Hill,Taysom,Hill,RB,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
