year,week,player_id,player,firstName,lastName,position,team,This Week Salary,Last Week Salary,Salary Differential,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,projected_points,projected_points_ppr,projected_points_half,projected_receptions,projected_reception_yards,projected_reception_tds,wk6 %rostered,wk5 %rostered,wk4 %rostered,wk3 %rostered,wk2 %rostered,wk1 %rostered
2024,8,4366031,Tank Dell,Tank,Dell,WR,HOU,"$6,900","$7,000",-100,3,6,50.0%,24,8.0,1,33.3%,8.25,12.61,10.43,4.35,59.79,0.33,91.2,91.2,91.2,91.2,91.2,91.2
2024,8,4429160,De'Von Achane,De'Von,Achane,WR,MIA,,,,,,,,,,,11.94,15.36,13.65,3.42,28.79,0.16,,,,,,
2024,8,4259545,D'Andre Swift,D'Andre,Swift,WR,CHI,,,,,,,,,,,12.28,15.43,13.86,3.15,23.34,0.1,,,,,,
2024,8,3127292,Will Dissly,Will,Dissly,WR,LAC,,,,,,,,,,,,,,,,,,,,,,
2024,8,4368003,Andrei Iosivas,Andrei,Iosivas,WR,CIN,"$5,200","$5,500",-300,3,5,60.0%,9,3.0,3,22.7%,3.69,5.81,4.75,2.12,25.8,0.19,5.7,5.7,5.7,5.7,5.7,5.7
2024,8,3121409,Noah Brown,Noah,Brown,WR,WSH,"$4,800","$5,000",-200,1,2,50.0%,8,8.0,0,14.3%,4.15,6.43,5.29,2.28,31.01,0.18,1.4,1.4,1.4,1.4,1.4,1.4
2024,8,4240472,Noah Gray,Noah,Gray,WR,KC,,,,,,,,,,,,,,,,,,,,,,
2024,8,3115306,Josh Reynolds,Josh,Reynolds,WR,DEN,"$4,500","$4,900",-400,2,2,100.0%,14,7.0,1,12.5%,,,,,,,3.4,3.4,3.4,3.4,3.4,3.4
2024,8,3925357,Calvin Ridley,Calvin,Ridley,WR,TEN,"$5,600","$5,700",-100,0,0,0%,0,0,0,0.0%,6.87,10.79,8.83,3.92,52.2,0.26,69.7,69.7,69.7,69.7,69.7,69.7
2024,8,2310331,Tyler Johnson,Tyler,Johnson,WR,LAR,"$4,800","$4,500",+300,1,5,20.0%,13,13.0,0,33.3%,1.96,3.23,2.6,1.27,14.59,0.08,7.3,7.3,7.3,7.3,7.3,7.3
2024,8,4428850,Dontayvion Wicks,Dontayvion,Wicks,WR,GB,"$5,900","$5,600",+300,4,6,66.7%,42,10.5,3,31.6%,5.91,8.82,7.37,2.91,40.32,0.31,24.3,24.3,24.3,24.3,24.3,24.3
2024,8,3116164,Mike Gesicki,Mike,Gesicki,WR,CIN,,,,,,,,,,,,,,,,,,,,,,
2024,8,4037235,Greg Dortch,Greg,Dortch,WR,ARI,"$5,300","$4,900",+400,3,3,100.0%,18,6.0,1,27.3%,3.01,5.2,4.11,2.19,21.68,0.14,7.4,7.4,7.4,7.4,7.4,7.4
2024,8,4430034,Xavier Legette,Xavier,Legette,WR,CAR,"$5,800","$5,900",-100,3,5,60.0%,12,4.0,2,27.8%,5.53,9.28,7.41,3.76,42.16,0.2,25.0,25.0,25.0,25.0,25.0,25.0
2024,8,3917914,Olamide Zaccheaus,Olamide,Zaccheaus,WR,WSH,"$4,800","$4,700",+100,2,2,100.0%,10,5.0,0,14.3%,3.66,5.88,4.77,2.23,27.67,0.15,0.7,0.7,0.7,0.7,0.7,0.7
2024,8,15795,DeAndre Hopkins,DeAndre,Hopkins,WR,KC,"$5,400","$5,600",-200,1,2,50.0%,11,11.0,1,22.2%,5.45,8.66,7.05,3.21,39.86,0.26,83.3,83.3,83.3,83.3,83.3,83.3
2024,8,3117256,Dalton Schultz,Dalton,Schultz,WR,HOU,,,,,,,,,,,,,,,,,,,,,,
2024,8,4242433,Joshua Palmer,Joshua,Palmer,WR,LAC,"$5,800","$5,100",+700,2,4,50.0%,8,4.0,0,33.3%,4.91,7.83,6.37,2.93,35.54,0.24,13.5,13.5,13.5,13.5,13.5,13.5
2024,8,3045144,Tyler Boyd,Tyler,Boyd,WR,TEN,"$4,900","$4,900",0,2,4,50.0%,13,6.5,0,44.4%,4.46,8.1,6.28,3.63,36.94,0.14,3.9,3.9,3.9,3.9,3.9,3.9
2024,8,4048244,Alexander Mattison,Alexander,Mattison,WR,LV,,,,,,,,,,,9.25,11.61,10.43,2.37,17.6,0.08,,,,,,
2024,8,4361579,Javonte Williams,Javonte,Williams,WR,DEN,,,,,,,,,,,11.34,14.18,12.76,2.85,19.88,0.12,,,,,,
2024,8,3123076,David Njoku,David,Njoku,WR,CLE,,,,,,,,,,,,,,,,,,,,,,
2024,8,3134353,Tim Patrick,Tim,Patrick,WR,DET,"$4,700","$4,800",-100,1,1,100.0%,8,8.0,0,6.3%,4.75,7.18,5.96,2.43,32.88,0.24,0.9,0.9,0.9,0.9,0.9,0.9
2024,8,4429025,Quentin Johnston,Quentin,Johnston,WR,LAC,"$5,700","$5,800",-100,2,2,100.0%,13,6.5,1,16.7%,7.1,10.25,8.67,3.15,46.16,0.38,33.5,33.5,33.5,33.5,33.5,33.5
2024,8,3045138,Mike Williams,Mike,Williams,WR,NYJ,"$4,800","$5,400",-600,0,2,0.0%,0,0,0,7.4%,3.32,5.09,4.2,1.77,23.18,0.18,16.5,16.5,16.5,16.5,16.5,16.5
2024,8,4567048,Kenneth Walker III,Kenneth,Walker III,WR,SEA,,,,,,,,,,,13.34,16.69,15.01,3.36,25.86,0.12,,,,,,
2024,8,4035676,Zack Moss,Zack,Moss,WR,CIN,,,,,,,,,,,7.09,9.66,8.38,2.57,17.72,0.1,,,,,,
2024,8,4248528,Christian Watson,Christian,Watson,WR,GB,"$5,800","$5,900",-100,1,3,33.3%,2,2.0,1,15.8%,6.43,9.55,7.99,3.13,43.95,0.32,54.6,54.6,54.6,54.6,54.6,54.6
2024,8,2983509,Dare Ogunbowale,Dare,Ogunbowale,WR,HOU,,,,,,,,,,,1.9,3.0,2.45,1.1,8.88,0.03,,,,,,
2024,8,4039057,Lil'Jordan Humphrey,Lil'Jordan,Humphrey,WR,DEN,,,,,,,,,,,2.96,4.71,3.84,1.75,21.41,0.14,,,,,,
2024,8,4431588,Ja'Tavion Sanders,Ja'Tavion,Sanders,WR,CAR,,,,,,,,,,,,,,,,,,,,,,
2024,8,3843945,Foster Moreau,Foster,Moreau,WR,NO,,,,,,,,,,,,,,,,,,,,,,
2024,8,2973405,Kalif Raymond,Kalif,Raymond,WR,DET,"$4,800","$4,400",+400,1,1,100.0%,1,1.0,0,6.3%,3.61,5.62,4.62,2.01,25.34,0.17,1.2,1.2,1.2,1.2,1.2,1.2
2024,8,4429795,Jahmyr Gibbs,Jahmyr,Gibbs,WR,DET,,,,,,,,,,,13.2,16.55,14.88,3.35,24.3,0.16,,,,,,
2024,8,3120348,JuJu Smith-Schuster,JuJu,Smith-Schuster,WR,KC,,,,,,,,,,,,,,,,,29.6,29.6,29.6,29.6,29.6,29.6
2024,8,4426385,Zach Charbonnet,Zach,Charbonnet,WR,SEA,,,,,,,,,,,4.59,6.61,5.6,2.03,13.72,0.08,,,,,,
2024,8,3051876,Evan Engram,Evan,Engram,WR,JAX,,,,,,,,,,,,,,,,,,,,,,
