season,week,player_id,FirstName_Initial,FirstName,LastName,recent_team,games_played,current_week_salary,last_week_salary,salary_diff,rushing_yards,rush_yds_per_game,carries,carries_per_game,avg_yds_per_carry,carries_last3_games_played,avg_carries_last3_games_played,receptions,receptions_per_game,rec_last3_games_played,avg_rec_last3_games_played,red_zone_rush_att,red_zone_rush_yds,red_zone_rush_y/a,red_zone_rush_td,red_zone_rush_pct,red_zone_rec_rec,red_zone_rec_tgt,red_zone_rec_pct,red_zone_rec_yds,red_zone_rec_y/r,red_zone_rec_td,red_zone_rec_tgt_pct,avg_12_carries_or_receptions_bool,avg_carries_last3_games_played_bool,avg_rec_last3_games_played_bool,avg_15_rec_or_carries_last3_games_bool,avg_4yds_per_carry_bool
2024,10,00-0034791,n,nan,chubb,CLE,3,,,,113,37.7,42,14.0,2.69,42,14.0,2,0.7,2,0.7,,,,,,,,,,,,,True,False,False,False,False
2024,10,00-0039021,r,roschon,johnson,CHI,6,"$5,600","$5,300",+300,108,18.0,35,5.8,3.09,10,3.3,8,1.3,4,1.3,8,16,2.0,4,28.6%,0,1,0.0%,0,0,0,100.0%,False,False,False,False,False
2024,10,00-0035537,t,ty,johnson,BUF,9,"$4,800","$4,700",+100,99,11.0,17,1.9,5.82,7,2.3,5,0.6,1,0.3,6,24,4.0,1,14.6%,3,4,75.0%,24,8.0,2,57.1%,False,False,False,False,True
2024,10,00-0037258,d,dameon,pierce,HOU,4,"$5,000","$4,900",+100,98,24.5,14,3.5,7.0,11,3.7,1,0.2,1,0.3,2,4,2.0,0,4.8%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0039373,a,audric,estime,DEN,5,"$4,100","$4,000",+100,95,19.0,15,3.0,6.33,11,3.7,0,0.0,0,0.0,3,12,4.0,0,9.7%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0030578,c,cordarrelle,patterson,PIT,4,"$4,500",-,-,92,23.0,16,4.0,5.75,12,4.0,5,1.2,5,1.7,0,0,0,0,0.0%,1,1,100.0%,4,4.0,0,20.0%,False,False,False,False,True
2024,10,00-0037085,t,tyler,badie,DEN,3,"$4,000","$4,000",0,86,28.7,11,3.7,7.82,11,3.7,3,1.0,3,1.0,0,0,0,0,0.0%,1,1,100.0%,2,2.0,0,16.7%,False,False,False,False,True
2024,10,00-0032104,a,nan,abdullah,LV,6,,,,81,13.5,16,2.7,5.06,9,3.0,14,2.3,7,2.3,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0039738,b,nan,corum,LA,5,,,,72,14.4,21,4.2,3.43,8,2.7,2,0.4,1,0.3,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0037594,j,julius,chestnut,TEN,4,"$5,100","$4,500",+600,71,17.8,16,4.0,4.44,15,5.0,1,0.2,1,0.3,3,19,6.3,0,12.0%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0038098,p,nan,strong,CLE,7,,,,64,9.1,17,2.4,3.76,5,1.7,7,1.0,2,0.7,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0033854,d,dare,ogunbowale,HOU,9,"$4,800","$4,800",0,57,6.3,24,2.7,2.38,3,1.0,15,1.7,0,0.0,4,6,1.5,0,9.5%,1,4,25.0%,1,1.0,1,57.1%,False,False,False,False,False
2024,10,00-0033526,s,samaje,perine,KC,8,"$5,800","$5,000",+800,55,6.9,14,1.8,3.93,3,1.0,13,1.6,7,2.3,1,2,2.0,1,2.4%,1,2,50.0%,7,7.0,1,25.0%,False,False,False,False,False
2024,10,00-0038685,c,nan,brooks,GB,4,,,,53,13.2,13,3.2,4.08,10,3.3,4,1.0,4,1.3,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0038551,k,kendre,miller,NO,2,"$4,500","$4,800",-300,52,26.0,9,4.5,5.78,9,3.0,2,1.0,2,0.7,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0038611,c,nan,rodriguez,WAS,1,,,,52,52.0,11,11.0,4.73,11,3.7,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0037557,r,nan,rivers,LA,4,,,,51,12.8,10,2.5,5.1,8,2.7,1,0.2,1,0.3,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0036414,c,cam,akers,MIN,1,"$4,800","$4,600",+200,46,46.0,6,6.0,7.67,17,5.7,2,2.0,4,1.3,5,21,4.2,1,11.9%,1,1,100.0%,8,8.0,1,14.3%,False,False,False,False,True
2024,10,00-0036096,j,j.j.,taylor,HOU,3,"$4,500","$4,000",+500,44,14.7,10,3.3,4.4,10,3.3,2,0.7,2,0.7,2,11,5.5,0,4.8%,0,0,0%,0,0,0,0.0%,False,False,False,False,True
2024,10,00-0039391,k,kimani,vidal,LAC,4,"$4,900","$4,000",+900,44,11.0,18,4.5,2.44,14,4.7,3,0.8,1,0.3,3,2,0.7,0,12.5%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0034115,j,nan,wilson,MIA,3,,,,40,13.3,8,2.7,5.0,8,2.7,2,0.7,2,0.7,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0035806,j,jamycal,hasty,NE,6,"$4,700","$4,600",+100,32,5.3,11,1.8,2.91,6,2.0,7,1.2,7,2.3,0,0,0,0,0.0%,1,1,100.0%,16,16.0,1,9.1%,False,False,False,False,False
2024,10,00-0038678,j,jordan,mims,NO,3,"$4,600","$4,000",+600,29,9.7,10,3.3,2.9,10,3.3,3,1.0,3,1.0,1,3,3.0,0,3.1%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0038396,e,eric,gray,NYG,7,"$4,700","$5,000",-300,26,3.7,12,1.7,2.17,4,1.3,6,0.9,2,0.7,5,8,1.6,0,25.0%,1,2,50.0%,13,13.0,0,40.0%,False,False,False,False,False
2024,10,00-0035973,p,nan,taylor,SF,2,,,,25,12.5,7,3.5,3.57,7,2.3,1,0.5,1,0.3,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0035567,c,craig,reynolds,DET,2,"$4,200","$4,200",0,24,12.0,9,4.5,2.67,9,3.0,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0035924,j,jonathan,ward,PIT,2,"$4,000",-,-,22,11.0,5,2.5,4.4,5,1.7,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0033893,d,dalvin,cook,DAL,2,"$5,000","$5,300",-300,20,10.0,8,4.0,2.5,8,2.7,1,0.5,1,0.3,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0038622,d,deuce,vaughn,DAL,3,"$4,100","$4,000",+100,20,6.7,7,2.3,2.86,7,2.3,2,0.7,2,0.7,1,3,3.0,0,7.7%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0037617,h,hassan,haskins,LAC,4,"$4,400","$4,500",-100,18,4.5,8,2.0,2.25,5,1.7,0,0.0,0,0.0,1,0,0.0,0,4.2%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0039798,i,isaiah,davis,NYJ,2,"$4,300","$4,700",-400,18,9.0,4,2.0,4.5,4,1.3,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0039393,j,jase,mcclellan,ATL,1,"$4,000","$4,200",-200,17,17.0,5,5.0,3.4,5,1.7,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0037609,a,aaron,shampklin,PIT,3,"$4,000",-,-,17,5.7,6,2.0,2.83,6,2.0,0,0.0,0,0.0,1,-2,-2.0,0,3.0%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0038636,k,nan,mcintosh,SEA,2,,,,16,8.0,4,2.0,4.0,4,1.3,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0035594,t,travis,homer,CHI,2,"$4,000","$4,000",0,16,8.0,3,1.5,5.33,3,1.0,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0036906,k,khalil,herbert,CHI,3,"$4,200","$4,300",-100,16,5.3,8,2.7,2.0,8,2.7,2,0.7,2,0.7,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0039811,m,nan,lloyd,GB,1,,,,15,15.0,6,6.0,2.5,6,2.0,1,1.0,1,0.3,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0039757,t,terrell,jennings,NE,1,"$4,000","$4,000",0,13,13.0,5,5.0,2.6,5,1.7,0,0.0,0,0.0,1,-1,-1.0,0,3.7%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0039746,w,will,shipley,PHI,2,"$4,100","$4,200",-100,12,6.0,10,5.0,1.2,10,3.3,0,0.0,0,0.0,1,1,1.0,0,2.6%,0,0,0%,0,0,0,0.0%,False,False,False,False,False
2024,10,00-0037450,t,nan,mcallister,LV,1,,,,11,11.0,2,2.0,5.5,2,0.7,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,True
2024,10,00-0034208,m,mike,boone,CAR,1,"$4,000","$4,000",0,7,7.0,4,4.0,1.75,4,1.3,0,0.0,0,0.0,,,,,,,,,,,,,False,False,False,False,False
2024,10,00-0039364,s,sione,vaki,DET,2,"$4,000","$4,000",0,5,2.5,1,0.5,5.0,1,0.3,1,0.5,1,0.3,,,,,,,,,,,,,False,False,False,False,True
