season,player_name,count_of_weeks
2018,E.Sanders,8
2018,J.Nelson,8
2018,T.Gabriel,8
2018,Z.Jones,8
2018,A.Humphries,7
2018,J.Brown,7
2018,M.Crabtree,7
2018,M.Sanu,7
2018,N.Agholor,7
2018,R.Chosen,7
2018,S.Watkins,7
2018,C.Godwin,6
2018,D.Jackson,6
2018,J.Reynolds,6
2018,K.Cole,6
2018,A.Callaway,5
2018,C.Beasley,5
2018,D.Amendola,5
2018,D.Baldwin,5
2018,D.Moncrief,5
2018,D.Thomas,5
2018,D.Westbrook,5
2018,J.Gordon,5
2018,M.Jones,5
2018,M.Valdes-Scantling,5
2018,Q.Enunwa,5
2018,B.Ellington,4
2018,C.Kirk,4
2018,C.Kupp,4
2018,C.Ridley,4
2018,C.Rogers,4
2018,C.Samuel,4
2018,D.Hamilton,4
2018,J.Crowder,4
2018,J.Kearse,4
2018,K.Coutee,4
2018,Z.Pascal,4
2018,C.Hogan,3
2018,D.Parker,3
2018,D.Pettis,3
2018,I.McKenzie,3
2018,J.Doctson,3
2018,J.Ross,3
2018,K.Benjamin,3
2018,K.Bourne,3
2018,M.Gallup,3
2018,M.Williams,3
2018,P.Dorsett,3
2018,R.Cobb,3
2018,R.Grant,3
2018,S.Roberts,3
2018,T.Ginn,3
2018,T.Patrick,3
2018,T.Taylor,3
2018,W.Fuller,3
2018,A.Miller,2
2018,C.Conley,2
2018,C.Sutton,2
2018,C.Williams,2
2018,G.Allison,2
2018,J.Grant,2
2018,J.Wright,2
2018,K.Stills,2
2018,M.Harris,2
2018,P.Garcon,2
2018,R.Foster,2
2018,R.Higgins,2
2018,R.Switzer,2
2018,T.Montgomery,2
2018,T.Sharpe,2
2018,T.Smith,2
2018,T.Williams,2
2018,A.Jones,1
2018,A.Tate,1
2018,A.Wilson,1
2018,B.Fowler,1
2018,B.Powell,1
2018,D.Carter,1
2018,D.Chark,1
2018,D.Inman,1
2018,D.Ratley,1
2018,D.Robinson,1
2018,E.Rogers,1
2018,J.Hardy,1
2018,L.Treadwell,1
2018,M.Ateman,1
2018,M.Bryant,1
2018,M.Goodwin,1
2018,T.Lockett,1
2018,T.Pryor,1
2018,T.Sherfield,1
2017,M.Thomas,16
2017,J.Landry,15
2017,K.Allen,15
2017,A.Brown,14
2017,A.Thielen,14
2017,J.Jones,14
2017,L.Fitzgerald,14
2017,A.Green,13
2017,B.Cooks,13
2017,D.Hopkins,13
2017,D.Thomas,13
2017,M.Evans,12
2017,A.Jeffery,11
2017,G.Tate,11
2017,D.Adams,10
2017,D.Bryant,10
2017,D.Amendola,9
2017,D.Parker,9
2017,R.Woods,9
2017,T.Hill,9
2017,C.Kupp,8
2017,D.Jackson,8
2017,J.Crowder,8
2017,J.Nelson,8
2017,M.Crabtree,8
2017,M.Lee,8
2017,S.Diggs,8
2017,T.Hilton,8
2017,D.Baldwin,7
2017,E.Sanders,7
2017,J.Kearse,7
2017,K.Stills,7
2017,M.Jones,7
2017,M.Sanu,7
2017,N.Agholor,7
2017,P.Richardson,7
2017,R.Chosen,7
2017,R.Matthews,7
2017,A.Cooper,6
2017,C.Davis,6
2017,D.Westbrook,6
2017,K.Wright,6
2017,M.Goodwin,6
2017,M.Wallace,6
2017,P.Garcon,6
2017,S.Shepard,6
2017,T.Williams,6
2017,A.Hurns,5
2017,B.Ellington,5
2017,B.LaFell,5
2017,J.Brown,5
2017,J.Smith-Schuster,5
2017,K.Benjamin,5
2017,K.Cole,5
2017,R.Cobb,5
2017,T.Smith,5
2017,Z.Jones,5
2017,A.Humphries,4
2017,A.Wilson,4
2017,C.Hogan,4
2017,D.Thompson,4
2017,E.Decker,4
2017,J.Doctson,4
2017,J.Gordon,4
2017,J.Maclin,4
2017,M.Bryant,4
2017,Ro.Lewis,4
2017,S.Watkins,4
2017,T.Lockett,4
2017,C.Coleman,3
2017,D.Inman,3
2017,D.Moncrief,3
2017,J.Bellamy,3
2017,O.Beckham,3
2017,R.Louis,3
2017,T.Ginn,3
2017,A.Robinson,2
2017,B.Fowler,2
2017,B.Marshall,2
2017,C.Godwin,2
2017,C.Moore,2
2017,D.Robinson,2
2017,E.Rogers,2
2017,G.Allison,2
2017,K.Aiken,2
2017,K.Britt,2
2017,K.Golladay,2
2017,R.Grant,2
2017,T.Benjamin,2
2017,T.Jones,2
2017,T.Montgomery,2
2017,W.Fuller,2
2017,B.Perriman,1
2017,C.Beasley,1
2017,C.Samuel,1
2017,J.Holton,1
2017,J.Taylor,1
2017,L.Carroo,1
2017,M.Clark,1
2017,M.Williams,1
2017,R.Higgins,1
2017,R.Shepard,1
2017,S.Roberts,1
2017,T.Boyd,1
2017,T.Gabriel,1
2017,T.King,1
2017,T.Pryor,1
2017,T.Taylor,1
