season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %,merge_name,merge_key,season_dfs,week_dfs,player_id,player,dk_position,fd_position,team,opponent,dk_salary,fd_salary,dk_fpts,fd_fpts,merge_name_dfs
2024,REG,2,23163,drake london,ATL,3,Drake London(ATL),2,2,1.0,0,6.0,0,0.5,0,0.0,0,1,7.2,7.2,0.99,drake london,drake london_2024_2,2024,2,drake-london,Drake London,WR,WR,ATL,Philadelphia Eagles,6100,6500,17.4,14.4,drake london
2024,REG,2,24177,jalen nailor,MIN,4,Jalen Nailor(MIN),1,2,0.5,0,10.0,0,0.667,0,0.0,0,1,7.0,7.0,0.063,jalen nailor,jalen nailor_2024_2,2024,2,jalen-nailor,Jalen Nailor,WR,WR,MIN,San Francisco 49ers,3900,5300,14.4,12.9,jalen nailor
2024,REG,2,17258,calvin ridley,TEN,5,Calvin Ridley(TEN),0,0,0.0,10,0.0,1,0.0,1,1.0,0,1,7.0,7.0,0.886,calvin ridley,calvin ridley_2024_2,2024,2,calvin-ridley,Calvin Ridley,WR,WR,TEN,New York Jets,5800,6100,24.7,22.7,calvin ridley
2024,REG,2,22916,zay flowers,BAL,6,Zay Flowers(BAL),1,1,1.0,0,8.0,0,1.0,0,0.0,0,1,6.8,6.8,0.94,zay flowers,zay flowers_2024_2,2024,2,zay-flowers,Zay Flowers,WR,WR,BAL,Las Vegas Raiders,6300,6300,22.1,18.6,zay flowers
2024,REG,2,19222,devonta smith,PHI,7,DeVonta Smith(PHI),1,2,0.5,0,7.0,0,0.4,0,0.0,0,1,6.7,6.7,0.936,devonta smith,devonta smith_2024_2,2024,2,devonta-smith,DeVonta Smith,WR,WR,PHI,Atlanta Falcons,6700,7200,20.6,17.1,devonta smith
2024,REG,2,22985,wan'dale robinson,NYG,8,Wan'Dale Robinson(NYG),1,1,1.0,0,7.0,0,0.25,0,0.0,0,1,6.7,6.7,0.202,wandale robinson,wandale robinson_2024_2,2024,2,wan-dale-robinson,Wan'Dale Robinson,WR,WR,NYG,Washington Commanders,4300,5400,9.8,8.8,wandale robinson
2024,REG,3,19590,jauan jennings,SF,1,Jauan Jennings(SF),2,2,1.0,0,8.5,0,0.667,0,0.0,0,1,13.7,13.7,0.797,jauan jennings,jauan jennings_2024_3,2024,3,jauan-jennings,Jauan Jennings,WR,WR,SF,Los Angeles Rams,4100,5200,49.5,44.0,jauan jennings
2024,REG,3,25409,malik nabers,NYG,2,Malik Nabers(NYG),2,2,1.0,0,4.0,0,0.667,0,0.0,0,1,12.8,12.8,0.994,malik nabers,malik nabers_2024_3,2024,3,malik-nabers,Malik Nabers,WR,WR,NYG,Cleveland Browns,6400,7100,28.2,24.2,malik nabers
2024,REG,3,18598,jakobi meyers,LV,3,Jakobi Meyers(LV),2,2,1.0,0,11.0,0,0.5,0,0.0,0,1,8.2,8.2,0.827,jakobi meyers,jakobi meyers_2024_3,2024,3,jakobi-meyers,Jakobi Meyers,WR,WR,LV,Carolina Panthers,5100,5300,21.2,17.7,jakobi meyers
2024,REG,3,23163,drake london,ATL,4,Drake London(ATL),2,3,0.667,0,10.5,0,0.75,0,0.0,0,1,8.1,8.1,0.99,drake london,drake london_2024_3,2024,3,drake-london,Drake London,WR,WR,ATL,Kansas City Chiefs,5800,6400,18.7,15.7,drake london
