season,season_type,week,fantasypros_id,player_name,team_abbr,Rank,Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,PCT,FL,G,FPTS,FPTS/G,ROST %
2017,REG,14,12121,Kelvin Benjamin,FA,7,Kelvin Benjamin(FA),1,1,100.0%,0,8.0,0,100.0%,0,0%,0,1,6.8,6.8,0.1%
2017,REG,14,11200,Mohamed Sanu Sr.,FA,8,Mohamed Sanu Sr.(FA),1,1,100.0%,0,8.0,0,25.0%,0,0%,0,1,6.8,6.8,0.0%
2017,REG,15,14222,Damiere Byrd,FA,1,Damiere Byrd(FA),2,2,100.0%,0,11.0,0,50.0%,0,0%,0,1,14.2,14.2,0.0%
2017,REG,15,16117,Jaydon Mickens,FA,2,Jaydon Mickens(FA),2,3,66.7%,0,9.5,0,75.0%,0,0%,0,1,13.9,13.9,0.0%
2017,REG,15,9460,Michael Crabtree,FA,3,Michael Crabtree(FA),3,5,60.0%,0,2.7,0,100.0%,0,0%,0,1,12.8,12.8,0.0%
2017,REG,15,13981,Stefon Diggs,NE,4,Stefon Diggs(NE),2,2,100.0%,0,11.5,0,100.0%,0,0%,0,1,8.3,8.3,84.6%
2017,REG,15,15528,Michael Thomas,FA,5,Michael Thomas(FA),3,4,75.0%,0,6.3,0,57.1%,0,0.0%,0,1,7.9,7.9,0.7%
2017,REG,15,14307,Eli Rogers,FA,6,Eli Rogers(FA),1,2,50.0%,0,18.0,0,50.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,15,14498,Adam Humphries,FA,7,Adam Humphries(FA),1,1,100.0%,0,16.0,0,50.0%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,15,12123,Davante Adams,LA,8,Davante Adams(LAR),1,2,50.0%,0,13.0,0,50.0%,0,0%,0,1,7.3,7.3,96.5%
2017,REG,16,17013,Bobo Wilson,FA,1,Bobo Wilson(FA),1,1,100.0%,0,18.0,0,20.0%,0,0%,0,1,7.8,7.8,0.1%
2017,REG,16,16427,JuJu Smith-Schuster,KC,2,JuJu Smith-Schuster(KC),1,1,100.0%,0,18.0,0,25.0%,0,0%,0,1,7.8,7.8,1.5%
2017,REG,16,9383,Larry Fitzgerald,FA,3,Larry Fitzgerald(FA),2,4,50.0%,0,8.0,0,80.0%,0,0%,0,1,7.6,7.6,0.8%
2017,REG,16,13981,Stefon Diggs,NE,4,Stefon Diggs(NE),2,2,100.0%,0,7.5,0,100.0%,0,0%,0,1,7.5,7.5,84.6%
2017,REG,16,13976,Jamison Crowder,FA,5,Jamison Crowder(FA),1,1,100.0%,0,15.0,0,14.3%,0,0%,0,1,7.5,7.5,1.0%
2017,REG,16,12231,John Brown,FA,6,John Brown(FA),1,1,100.0%,0,15.0,0,20.0%,0,0%,0,1,7.5,7.5,0.0%
2017,REG,16,16433,Cooper Kupp,SEA,7,Cooper Kupp(SEA),1,1,100.0%,0,14.0,0,33.3%,0,0%,0,1,7.4,7.4,83.1%
2017,REG,16,16505,Trent Taylor,SF,8,Trent Taylor(SF),2,3,66.7%,0,5.5,0,42.9%,0,0%,0,1,7.1,7.1,0.0%
2017,REG,17,16427,JuJu Smith-Schuster,KC,1,JuJu Smith-Schuster(KC),2,2,100.0%,0,15.5,0,100.0%,0,0%,0,1,9.1,9.1,1.5%
2017,REG,17,12122,Brandin Cooks,NO,2,Brandin Cooks(NO),2,3,66.7%,12,6.0,0,100.0%,1,100.0%,0,1,8.4,8.4,4.8%
2017,REG,17,11837,Brice Butler,FA,3,Brice Butler(FA),1,1,100.0%,0,20.0,0,50.0%,0,0%,0,1,8.0,8.0,0.0%
2017,REG,17,10992,Doug Baldwin,FA,4,Doug Baldwin(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2017,REG,17,9902,Randall Cobb,FA,5,Randall Cobb(FA),1,1,100.0%,0,17.0,0,100.0%,0,0%,0,1,7.7,7.7,1.1%
2017,REG,17,15817,Hunter Sharp,FA,6,Hunter Sharp(FA),1,1,100.0%,0,16.0,0,33.3%,0,0%,0,1,7.6,7.6,0.0%
2017,REG,17,11616,Keenan Allen,LAC,7,Keenan Allen(LAC),2,2,100.0%,0,8.0,0,100.0%,0,0%,0,1,7.6,7.6,43.2%
2017,REG,17,13981,Stefon Diggs,NE,8,Stefon Diggs(NE),1,1,100.0%,0,15.0,0,100.0%,0,0%,0,1,7.5,7.5,84.6%
2018,REG,1,15528,Michael Thomas,FA,1,Michael Thomas(FA),3,3,100.0%,0,7.0,0,75.0%,0,0.0%,0,1,8.1,8.1,0.7%
2018,REG,1,9064,Brandon Marshall,FA,2,Brandon Marshall(FA),1,2,50.0%,0,20.0,0,66.7%,0,0%,0,1,8.0,8.0,2.6%
2018,REG,1,11616,Keenan Allen,LAC,3,Keenan Allen(LAC),1,1,100.0%,0,20.0,0,50.0%,0,0%,0,1,8.0,8.0,43.2%
2018,REG,1,12137,Bruce Ellington,FA,4,Bruce Ellington(FA),2,2,100.0%,0,9.5,0,40.0%,0,0%,0,1,7.9,7.9,0.0%
2018,REG,1,13979,Phillip Dorsett II,LV,5,Phillip Dorsett II(LV),2,2,100.0%,0,9.0,0,66.7%,0,0%,0,1,7.8,7.8,0.0%
2018,REG,1,12123,Davante Adams,LA,6,Davante Adams(LAR),2,2,100.0%,0,9.0,0,66.7%,0,0%,0,1,7.8,7.8,96.5%
2018,REG,1,11440,Josh Gordon,FA,7,Josh Gordon(FA),1,1,100.0%,0,17.0,0,50.0%,0,0%,0,1,7.7,7.7,0.1%
2018,REG,1,12904,Willie Snead IV,FA,8,Willie Snead IV(FA),1,1,100.0%,0,13.0,0,25.0%,0,0%,0,1,7.3,7.3,0.0%
2018,REG,2,15528,Michael Thomas,FA,1,Michael Thomas(FA),3,4,75.0%,0,7.0,0,100.0%,0,0%,0,1,14.1,14.1,0.7%
2018,REG,2,9857,A.J. Green,FA,2,A.J. Green(FA),2,3,66.7%,0,5.5,0,50.0%,0,0.0%,0,1,13.1,13.1,0.7%
2018,REG,2,16427,JuJu Smith-Schuster,KC,3,JuJu Smith-Schuster(KC),5,8,62.5%,0,5.0,0,72.7%,0,0%,0,1,8.5,8.5,1.5%
2018,REG,2,13840,Seth Roberts,FA,4,Seth Roberts(FA),1,1,100.0%,0,20.0,0,50.0%,0,0%,0,1,8.0,8.0,0.0%
2018,REG,2,13971,Tyler Lockett,TEN,5,Tyler Lockett(TEN),1,1,100.0%,0,19.0,0,50.0%,0,0%,0,1,7.9,7.9,10.9%
2018,REG,2,16426,Taywan Taylor,FA,6,Taywan Taylor(FA),1,1,100.0%,0,18.0,0,100.0%,0,0%,0,1,7.8,7.8,0.0%
2018,REG,2,14151,Chris Conley,FA,7,Chris Conley(FA),1,1,100.0%,0,15.0,0,50.0%,0,0%,0,1,7.5,7.5,0.0%
2018,REG,2,17254,James Washington,FA,8,James Washington(FA),1,1,100.0%,0,14.0,0,9.1%,0,0%,0,1,7.4,7.4,0.0%
2018,REG,3,17258,Calvin Ridley,TEN,1,Calvin Ridley(TEN),2,2,100.0%,0,13.5,0,50.0%,0,0%,0,1,14.7,14.7,88.6%
